key,value
AI বিশ্লেষণ ও উত্তর প্রস্তুত করা হচ্ছে...,AI বিশ্লেষণ বারো উত্তর হঙকরানি অর...
AI সহকারী লুকান,AI সহকারী লুকর
AI সহকারীকে জিজ্ঞাসা করুন,AI সহকারীরে প্রশ্ন কর
APK শেয়ার করুন,APK শেয়ার কর
APK শেয়ার প্রস্তুত করা সম্ভব হয়নি,APK শেয়ার হঙকরানি সম্ভব নার
APK সংরক্ষণ করুন,APK ইতু কর
APK সংরক্ষণ ব্যর্থ হয়েছে,APK ইতুত লালুইসে
APK সফলভাবে ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে!,APK ডাউনলোড ফোল্ডারত ইতু অইল!
Choose your language · লাউখোল,তর ঠার বাছ · লাউখোল
Downloads/Ningshingche/{1} ফোল্ডারে সফলভাবে সংরক্ষিত হয়েছে!,Downloads/Ningshingche/{1} ফোল্ডারত ইতু অইল!
Downloads/Ningshingche_PDFs/{1} ফোল্ডারে সংরক্ষিত হয়েছে!,Downloads/Ningshingche_PDFs/{1} ফোল্ডারত ইতু অইল!
Downloads/{1}/{2} ফোল্ডারে সংরক্ষিত হয়েছে!,Downloads/{1}/{2} ফোল্ডারত ইতু অইল!
Facebook আইডি / লিংক,Facebook আইডি / মিলাপ
Facebook আইডি দিন।,Facebook আইডি দে।
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন,Google একাউন্ট দিয়ে হমানি
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন। একবার সাইন-ইন করলে অ্যাপ বন্ধ করলেও সেশন থাকবে।,Google একাউন্ট দিয়ে হমানি। আকবার সাইন-ইন করিলে অ্যাপ বন্ধ করলেউ সেশন থাইব।
Google ও Supabase-এ Web Client ID মিলছে না। Dashboard → Authentication → Google-এ Web Client ID দিন।,Google বারো Supabase-এ Web Client ID মিলতাই না। Dashboard → Authentication → Google-ত Web Client ID দে।
Google কনসোলে এই অ্যাপের প্যাকেজ নাম (com.ningshingche.app) ও সাইনিং SHA-1 মিলছে না। Debug ও Release দুই SHA-1 Android OAuth ক্লায়েন্টে যোগ করুন।,Google কনসোলত এরে অ্যাপর প্যাকেজ নাঙ (com.ningshingche.app) বারো সাইনিং SHA-1 মিলতাই না। Debug বারো Release দুই SHA-1 Android OAuth ক্লায়েন্টে যোগ কর।
Google দিয়ে চালিয়ে যান,Google দিয়ে চালু কর
Google দিয়ে প্রবেশ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।,Google দিয়ে হমানি নার অইল। কৃপা করিয়া আরাকবার চেষ্টা কর।
