bengali,bishnupriya,kind,uses,screens
নিংশিং চে,,content,21,"AiAssistantScreen.kt, ContentUpdateNotifier.kt, HomeScreen.kt, IssueTags.kt, LoginScreen.kt, MusicController.kt, MusicPlayer.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt, PortalDrawer.kt, PortalModels.kt, SplashScreen.kt, SupabaseModels.kt, WelcomeOnboardingScreen.kt"
সব,,ui,15,"BookmarksScreen.kt, EditorialComponents.kt, HomeScreen.kt, MusicScreen.kt, PortalPages.kt, Type.kt, UserDashboardScreen.kt"
পেছনে,,ui,14,"ArticleScreen.kt, BookmarksScreen.kt, ListScreens.kt, MusicBrowseScreens.kt, MusicScreen.kt, PdfArchiveScreen.kt, PdfViewerScreen.kt, PortalPages.kt, SettingsScreen.kt, VideosScreen.kt"
সাহিত্য,,content,11,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
ইতিহাস,,content,10,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
লেখক,,content,8,"EditorialComponents.kt, ListScreens.kt, NinghsingCheContentData.kt, PortalDrawer.kt, PortalPages.kt, SupabaseModels.kt"
সমাজ ও সংস্কৃতি,,content,8,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt, PortalPages.kt, ReaderViewModels.kt"
জীবনী,,content,7,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
গান,,ui,6,"ListScreens.kt, NewMusicScreen.kt, UserDashboardCharts.kt, UserDashboardScreen.kt"
পাঠক,,ui,6,"ArticleCommentForm.kt, ArticleRepository.kt, GoogleAuthMapper.kt, NingshingCheWebsiteClient.kt, SettingsScreen.kt, UserDashboardScreen.kt"
বন্ধ করুন,,ui,6,"ArticleScreen.kt, EditorialComponents.kt, HtmlArticleRenderer.kt, MusicPlayer.kt, VideoPlayer.kt"
সংস্কৃতি,,content,6,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
সামাজিক কার্যকলাপ,,content,6,"NinghsingCheContentData.kt, PortalDrawer.kt, PortalPages.kt, ReaderViewModels.kt"
অধ্যাপক বারীন্দ্র কুমার সিংহ,,content,5,NinghsingCheContentData.kt
আরও দেখুন,,ui,5,UserDashboardScreen.kt
কবিতা,,content,5,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
চালান,,ui,5,"EditorialComponents.kt, MusicBrowseScreens.kt, MusicPlayer.kt, VideosScreen.kt"
নতুন প্রবন্ধ,,ui,5,"AppNotificationManager.kt, ContentNotice.kt, NewArticleScreen.kt, SettingsScreen.kt, WelcomeOnboardingScreen.kt"
নতুন প্লেলিস্ট,,ui,5,"MusicLibraryStore.kt, MusicPlayer.kt, MusicScreen.kt"
প্রবন্ধ,,content,5,"NinghsingCheContentData.kt, UserDashboardCharts.kt, UserDashboardScreen.kt"
ফিরুন,,ui,5,"LoginScreen.kt, NewArticleScreen.kt, NewMusicScreen.kt, UserDashboardScreen.kt, UserProfileScreen.kt"
বাংলাদেশ / ভারত,,ui,5,"ArticleRepository.kt, Models.kt, NingshingCheWebsiteClient.kt, SupabaseModels.kt"
বার্ষিক ও উৎসব সংখ্যা,,content,5,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
বিজ্ঞান ও প্রযুক্তি,,content,5,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
ভাষা আন্দোলন,,content,5,"NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
মন্তব্য,,ui,5,"ArticleScreen.kt, UserDashboardCharts.kt, UserDashboardScreen.kt"
সিস্টেম আপডেট,,ui,5,"AppNotificationManager.kt, ContentNotice.kt, SettingsScreen.kt, WelcomeOnboardingScreen.kt"
**লেখক:** …,,ui,4,NinghsingCheAiAssistant.kt
অনুসন্ধান,,ui,4,"ExploreScreen.kt, HomeScreen.kt, ListScreens.kt, PortalDrawer.kt"
অন্বেষণ ও সংগ্রহ,,ui,4,"ExploreScreen.kt, ReaderViewModels.kt, Screen.kt"
অ্যালবাম,,ui,4,"MusicBrowseScreens.kt, MusicPlayer.kt, MusicScreen.kt, NewMusicScreen.kt"
আমার সম্পর্কে,,ui,4,"PortalDrawer.kt, PortalPages.kt"
ড. প্রদীপ সিংহ,,content,4,NinghsingCheContentData.kt
নতুন PDF বই,,ui,4,"AppNotificationManager.kt, ContentNotice.kt, SettingsScreen.kt, WelcomeOnboardingScreen.kt"
নতুন ভিডিও,,ui,4,"AppNotificationManager.kt, ContentNotice.kt, SettingsScreen.kt, WelcomeOnboardingScreen.kt"
পর্যালোচনা,,content,4,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
পৌরাণিক কাহিনী,,content,4,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
প্রকাশিত,,ui,4,"UserDashboardCharts.kt, UserDashboardScreen.kt"
বার্তা,,ui,4,UserDashboardScreen.kt
বার্ষিক সংখ্যা,,content,4,"NinghsingCheContentData.kt, PortalDrawer.kt, ReaderNavHost.kt, Screen.kt"
ভিডিও,,ui,4,"EditorialComponents.kt, MusicPlayer.kt, VideosScreen.kt"
মুছুন,,ui,4,"BookmarksScreen.kt, ListScreens.kt, MusicBrowseScreens.kt, MusicScreen.kt"
শিল্পী,,ui,4,"MusicBrowseScreens.kt, MusicPlayer.kt, MusicScreen.kt, NewMusicScreen.kt"
সম্পাদকীয়,,content,4,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
সাধারণ,,ui,4,"ArticleRepository.kt, NinghsingCheAiAssistant.kt, PortalModels.kt"
স্মৃতিচারণ,,content,4,"EditorialComponents.kt, NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
**বিভাগ:** …,,ui,3,NinghsingCheAiAssistant.kt
**শিরোনাম:** …,,ui,3,NinghsingCheAiAssistant.kt
Google সাইন-ইন সময় শেষ হয়েছে। আবার চেষ্টা করুন।,,ui,3,"GoogleAuthMapper.kt, GoogleAuthRepository.kt"
অপেক্ষমাণ,,ui,3,"UserDashboardCharts.kt, UserDashboardScreen.kt"
অ্যাকাউন্ট,,ui,3,"AccountHeaderButton.kt, SettingsScreen.kt"
অ্যাডমিনের বার্তা,,ui,3,"ContentNotice.kt, ContentUpdateNotifier.kt"
ইঞ্চৌঘর,,content,3,"NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
উৎসব,,content,3,"MusicGenres.kt, NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
গবেষণা ও ভাষা আন্দোলন,,content,3,NinghsingCheContentData.kt
ঘর,,ui,3,"NinghsingCheAiAssistant.kt, PortalDrawer.kt, UserDashboardScreen.kt"
ছবি আপলোড যায়নি।,,ui,3,ReaderWorkspaceViewModel.kt
ডাউনলোড,,ui,3,"MusicPlayer.kt, PdfArchiveScreen.kt, PdfViewerScreen.kt"
ধরন,,ui,3,"MusicBrowseScreens.kt, MusicPlayer.kt, MusicScreen.kt"
ধর্ম,,ui,3,"EditorialComponents.kt, NingshingCheWebsiteClient.kt"
পছন্দ,,ui,3,"MusicBrowseScreens.kt, MusicPlayer.kt, MusicScreen.kt"
পিডিএফ খোলা যায়নি।,,ui,3,"MainViewModels.kt, PdfViewerScreen.kt"
পৌ,,ui,3,"EditorialComponents.kt, NingshingCheWebsiteClient.kt"
ফিচার্ড,,ui,3,"ExploreScreen.kt, HomeScreen.kt, PortalDrawer.kt"
বিজ্ঞপ্তি,,ui,3,"AccountHeaderButton.kt, UserDashboardScreen.kt"
বিভাগসমূহ,,ui,3,"PortalDrawer.kt, ReaderNavHost.kt, Screen.kt"
বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল সাংস্কৃতিক আর্কাইভ ও সাহিত্য পত্রিকা,,ui,3,"PortalModels.kt, SupabaseModels.kt"
ভুমিকা,,ui,3,"EditorialComponents.kt, NingshingCheWebsiteClient.kt"
রকমারি,,ui,3,"EditorialComponents.kt, NingshingCheWebsiteClient.kt"
রাসলীলা,,content,3,"NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
লোকসংগীত,,content,3,NinghsingCheContentData.kt
শেয়ার,,ui,3,"ArticleScreen.kt, HtmlArticleRenderer.kt, PdfViewerScreen.kt"
সংরক্ষণ করুন,,ui,3,"ArticleScreen.kt, EditorialComponents.kt"
সংরক্ষণ বাতিল করুন,,ui,3,"ArticleScreen.kt, EditorialComponents.kt"
সঙ্গীত,,ui,3,"EditorialComponents.kt, MusicScreen.kt, PortalDrawer.kt"
সমাজ,,ui,3,"EditorialComponents.kt, NingshingCheWebsiteClient.kt, ReaderViewModels.kt"
সাইন ইন করা নেই।,,ui,3,"SupabaseClient.kt, UserProfileScreen.kt"
সাইন ইন করা নেই। আবার প্রবেশ করুন।,,ui,3,SupabaseClient.kt
সাহিত্য ও সংকলন,,content,3,NinghsingCheContentData.kt
সুজিত সিংহ,,content,3,NinghsingCheContentData.kt
সুদেষ্ণা সিংহ,,content,3,"EditorialComponents.kt, NinghsingCheContentData.kt"
সুবর্ণ জয়ন্তী ও ইতিহাস,,content,3,NinghsingCheContentData.kt
সেটিংস,,ui,3,"PdfViewerScreen.kt, PortalDrawer.kt, SettingsScreen.kt"
স্থাপত্য,,content,3,NinghsingCheContentData.kt
স্মৃতিকণা সিংহ,,content,3,NinghsingCheContentData.kt
স্লিপ টাইমার,,ui,3,MusicPlayer.kt
… টি প্রবন্ধ,,ui,3,ListScreens.kt
…টি গান,,ui,3,"MusicBrowseScreens.kt, MusicScreen.kt"
…টি প্রবন্ধ,,ui,3,"ExploreScreen.kt, PortalPages.kt"
### মূল নিবন্ধের পাঠ্যাংশ:,,ui,2,NinghsingCheAiAssistant.kt
Google দিয়ে প্রবেশ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।,,ui,2,GoogleAuthMapper.kt
Google সাইন-ইন খোলার জন্য অ্যাপ স্ক্রিন প্রয়োজন। আবার চেষ্টা করুন।,,ui,2,GoogleIdentityClient.kt
অক্ষরের আকার,,ui,2,ArticleScreen.kt
অন্যান্য,,ui,2,"AppNotificationManager.kt, SettingsScreen.kt"
অফলাইন,,ui,2,MusicScreen.kt
আবার চেষ্টা করুন,,ui,2,"EditorialComponents.kt, PdfViewerScreen.kt"
এই গানের অডিও ফাইল নেই।,,ui,2,MusicController.kt
এই প্রবন্ধ এখনো পর্যালোচনায় আছে।,,ui,2,ReaderNavHost.kt
এখনো কোনো গান যোগ করা হয়নি।,,ui,2,MusicScreen.kt
এখানে কোনো প্রবন্ধ পাওয়া যায়নি।,,ui,2,ListScreens.kt
ঐতিহ্য,,content,2,NinghsingCheContentData.kt
কভার ছবি,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
কভার ছবি নির্বাচন (ঐচ্ছিক),,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
কভার ছবি বদলান,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
কভার ছবি সরান,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
কমল সিংহ বিষ্ণুপ্রিয়া,,content,2,NinghsingCheContentData.kt
কোনো লেখক পাওয়া যায়নি।,,ui,2,"ExploreScreen.kt, PortalPages.kt"
ছবি,,ui,2,"MarkdownText.kt, UserDashboardScreen.kt"
ছবি ঘর,,ui,2,EditorialComponents.kt
ছবি শেয়ার করুন,,ui,2,"HomeScreen.kt, HtmlArticleRenderer.kt"
ছোট করুন,,ui,2,"ArticleScreen.kt, MusicPlayer.kt"
জমা দিন,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে: …,,ui,2,"ApkManager.kt, PdfHelper.kt"
ডাউনলোড হচ্ছে...,,ui,2,"MainViewModels.kt, PdfArchiveScreen.kt"
ডিজিটাল আর্কাইভ,,content,2,NinghsingCheContentData.kt
ড্যাশবোর্ড,,ui,2,"AccountHeaderButton.kt, PortalDrawer.kt"
তামকরিক,,ui,2,NingshingCheWebsiteClient.kt
তালিকা,,ui,2,MusicPlayer.kt
নতুন গান জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,,ui,2,"NewMusicScreen.kt, ReaderWorkspaceViewModel.kt"
নতুন প্রবন্ধ জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,,ui,2,"NewArticleScreen.kt, ReaderWorkspaceViewModel.kt"
নিংশিং চে AI সহকারী,,ui,2,"AiAssistantScreen.kt, EditorialComponents.kt"
নিংশিং চে প্রকাশনা পর্ষদ,,content,2,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
নিংশিং চে লেখক,,ui,2,"ArticleRepository.kt, NingshingCheWebsiteClient.kt"
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ,,ui,2,"PortalPages.kt, SettingsScreen.kt"
নিবন্ধ এআই সহায়িকা,,ui,2,ArticleScreen.kt
নির্বাচিত প্রবন্ধ,,ui,2,"ContentNotice.kt, SettingsScreen.kt"
নৃত্য,,ui,2,"MusicGenres.kt, NinghsingCheAiAssistant.kt"
পছন্দের গান,,ui,2,"MusicLibraryStore.kt, MusicScreen.kt"
পরের গান,,ui,2,MusicPlayer.kt
পাঠান,,ui,2,"ArticleScreen.kt, UserDashboardScreen.kt"
পৌরাণিক,,ui,2,NingshingCheWebsiteClient.kt
প্রকাশিত প্রবন্ধ খোলা যায়নি।,,ui,2,ReaderNavHost.kt
প্রত্যাখ্যাত,,ui,2,"UserDashboardCharts.kt, UserDashboardScreen.kt"
প্রবন্ধ প্রকাশিত হয়েছে,,ui,2,"ContentUpdateNotifier.kt, InboxModels.kt"
প্রোফাইল,,ui,2,"AccountHeaderButton.kt, UserProfileScreen.kt"
প্রোফাইল ছবি,,ui,2,"UserDashboardScreen.kt, UserProfileScreen.kt"
প্রোফাইল সম্পাদনা,,ui,2,UserDashboardScreen.kt
প্রোফাইলে যান,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
প্লেলিস্টে যোগ করুন,,ui,2,MusicPlayer.kt
ফাইল ২০০ এমবি-র বেশি হতে পারে না।,,ui,2,SatoruUploadClient.kt
ফাইল ৩২ এমবি-র বেশি হতে পারবে না।,,ui,2,SupabaseClient.kt
ফিচার্ড প্রবন্ধসমূহ,,ui,2,PortalPages.kt
বন্ধ,,ui,2,"PdfViewerScreen.kt, UserDashboardScreen.kt"
বার্তা লিখুন।,,ui,2,"ReaderWorkspaceViewModel.kt, SupabaseClient.kt"
বার্ষিক সংখ্যা • … সালে প্রকাশিত লেখাসমূহ,,ui,2,"ExploreScreen.kt, ListScreens.kt"
বার্ষিক সাহিত্য সংকলন,,ui,2,SupabaseModels.kt
বিজ্ঞপ্তি চালু করুন,,ui,2,WelcomeOnboardingScreen.kt
বিরতি,,ui,2,MusicPlayer.kt
বিশু,,content,2,"NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
