key,value
AI বিশ্লেষণ ও উত্তর প্রস্তুত করা হচ্ছে...,Preparing the AI analysis and answer...
AI সহকারী লুকান,Hide the AI assistant
AI সহকারীকে জিজ্ঞাসা করুন,Ask the AI assistant
APK শেয়ার করুন,Share the APK
APK শেয়ার প্রস্তুত করা সম্ভব হয়নি,Could not prepare the APK to share
APK সংরক্ষণ করুন,Save the APK
APK সংরক্ষণ ব্যর্থ হয়েছে,Saving the APK failed
APK সফলভাবে ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে!,APK saved to the Downloads folder!
Choose your language · লাউখোল,Choose your language · লাউখোল
Downloads/Ningshingche/{1} ফোল্ডারে সফলভাবে সংরক্ষিত হয়েছে!,Saved to the Downloads/Ningshingche/{1} folder!
Downloads/Ningshingche_PDFs/{1} ফোল্ডারে সংরক্ষিত হয়েছে!,Saved to the Downloads/Ningshingche_PDFs/{1} folder!
Downloads/{1}/{2} ফোল্ডারে সংরক্ষিত হয়েছে!,Saved to the Downloads/{1}/{2} folder!
Facebook আইডি / লিংক,Facebook ID / link
Facebook আইডি দিন।,Enter your Facebook ID.
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন,Sign in with your Google account
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন। একবার সাইন-ইন করলে অ্যাপ বন্ধ করলেও সেশন থাকবে।,"Sign in with your Google account. Once you sign in, the session stays even after the app is closed."
Google ও Supabase-এ Web Client ID মিলছে না। Dashboard → Authentication → Google-এ Web Client ID দিন।,The Web Client ID does not match between Google and Supabase. Add the Web Client ID in Dashboard → Authentication → Google.
Google কনসোলে এই অ্যাপের প্যাকেজ নাম (com.ningshingche.app) ও সাইনিং SHA-1 মিলছে না। Debug ও Release দুই SHA-1 Android OAuth ক্লায়েন্টে যোগ করুন।,The package name (com.ningshingche.app) and the signing SHA-1 of this app do not match in the Google Console. Add both the Debug and Release SHA-1 to the Android OAuth client.
Google দিয়ে চালিয়ে যান,Continue with Google
Google দিয়ে প্রবেশ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।,Could not sign in with Google. Please try again.
Google সাইন-ইন খোলার জন্য অ্যাপ স্ক্রিন প্রয়োজন। আবার চেষ্টা করুন।,Google sign-in needs the app to be on screen. Try again.
Google সাইন-ইন সময় শেষ হয়েছে। আবার চেষ্টা করুন।,The Google sign-in timed out. Try again.
HTML লেখা,Write HTML
ImgBB API Key পাওয়া যায়নি। সেটিংস বা এনভায়রনমেন্ট কনফিগারেশন চেক করুন।,ImgBB API key not found. Check the settings or the environment configuration.
ImgBB আপলোড ব্যর্থ হয়েছে: {1},ImgBB upload failed: {1}
ImgBB ত্রুটি: {1},ImgBB error: {1}
PDF আর্কাইভ,PDF archive
PDF প্রকাশনা শেয়ার করুন,Share the PDF publication
Supabase-এ Google সাইন-ইন চালু নেই। Authentication → Providers → Google চালু করুন।,Google sign-in is not enabled in Supabase. Enable it in Authentication → Providers → Google.
_নিচে তথ্যসূত্র কার্ড থেকে মূল প্রবন্ধ পড়তে পারেন।_,_You can read the original article from the source card below._
chепе ধরে প্রতিক্রিয়া দিন,Press and hold to react
ningshingche.com ওয়েবসাইটে যান,Go to the ningshingche.com website
ningshingche.com • সংস্করণ ১.০,ningshingche.com • version 1.0
{1} ({2}) — বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল তথ্যকোষ 'নিংশিং চে' থেকে সংগৃহীত। https://ningshingche.com,{1} ({2}) — from the Bishnupriya Manipuri digital encyclopedia 'Ningshing Che'. https://ningshingche.com
{1} {2} {3}  নিংশিং চে,{1} {2} {3}  Ningshing Che
{1} অক্ষর,{1} characters
{1} কে উত্তর,Answer to {1}
{1} টি প্রবন্ধ,{1} articles
{1} পয়েন্ট,{1} points
{1} বার পঠিত,Read {1} times
{1} বার শোনা,Played {1} times
{1} বার শোনা হয়েছে,Played {1} times
{1} বিষয়ক অন্যান্য গবেষণা প্রবন্ধ কী কী আছে?,What other research articles are there on {1}?
{1} বিষয়ে নিংশিং চে-তে প্রকাশিত প্রবন্ধসমূহ।,Articles published in Ningshing Che on {1}.
{1} বিষয়ে প্রকাশিত প্রবন্ধসমূহ,Articles published on {1}
{1} মাস,{1} months
{1} মাসে {2} পয়েন্ট,{2} points in {1} months
{1} মি.,{1} min
{1} মিনিট,{1} minutes
{1} মিনিট পাঠ,{1} minutes of reading
{1} — নিংশিং চে PDF আর্কাইভ,{1} — Ningshing Che PDF archive
{1}-এর তালিকা,List of {1}
{1}:{2},{1}:{2}
{1}টি,{1}
{1}টি গান,{1} songs
{1}টি নতুন PDF বই,{1} new PDF books
{1}টি নতুন ছবি,{1} new photos
{1}টি নতুন প্রবন্ধ,{1} new articles
{1}টি নতুন বার্তা,{1} new messages
{1}টি নতুন ভিডিও,{1} new videos
{1}টি নির্বাচিত প্রবন্ধ,{1} featured articles
{1}টি প্রবন্ধ,{1} articles
{1}টি মন্তব্য,{1} comments
{1}টি মিল,{1} matches
{1}টি লেখা সংরক্ষিত,{1} texts saved
© ২০২৬ {1} | সাইট উন্নয়ন,© 2026 {1} | site development
«{1}» সম্পর্কে আরও বিস্তারিত তথ্য জানা যাবে কি?,Can I get more details about «{1}»?
«{1}» — এই শব্দে কোনো আলোচনা নেই।,«{1}» — no discussion with this word.
· {1}টি গান,· {1} songs
অক্টো,Oct
অক্টোবর,October
অক্ষরের আকার,Font size
অজানা ত্রুটি,Unknown error
অটোপ্লে,Autoplay
অডিও আপলোড যায়নি ({1})।,Audio upload failed ({1}).
অডিও আপলোড যায়নি।,Audio upload failed.
অডিও আপলোডের অনুমতি নেই। আবার সাইন ইন করে চেষ্টা করুন।,You do not have permission to upload audio. Sign in again and try.
অডিও ফাইল খালি।,The audio file is empty.
অডিও ফাইল পড়া যায়নি।,Could not read the audio file.
অডিওতে ফিরুন,Back to the audio
অতিথি ভিউ,Guest views
অনুবাদ হালনাগাদ করুন,Update the translations
অনুমোদনের পর আপনার মন্তব্য এখানে প্রকাশিত হবে।,Your comment appears here after approval.
অনুমোদিত,Approved
অনুমোদিত ({1}),Approved ({1})
অনুসন্ধান,Search
অনুসন্ধানের ফল,Search results
"অন্তত দুই অক্ষর লিখুন। শিরোনাম, উপশিরোনাম, লেখক, ট্যাগ ও লেখার ভেতরে খোঁজা হয়।","Type at least two letters. Titles, subtitles, authors, tags and the writing itself are searched."
অন্বেষণ,Explore
অন্বেষণ ও সংগ্রহ,Explore and collect
অন্য অ্যাপে খুলুন,Open in another app
অন্য ধরন লিখুন,Type another way
অন্য শব্দ দিয়ে খুঁজুন বা বিভাগ ফিল্টার বদলান।,Search with another word or change the category filter.
অন্য শব্দে চেষ্টা করুন,Try another word
অন্যান্য,Others
অপছন্দ,Dislike
অপছন্দ {1} ·,Dislike {1} ·
অপেক্ষমাণ,Pending
অফলাইন,Offline
অফলাইন ক্যাশ সিঙ্ক ও পরিষ্কার করুন,Sync and clear the offline cache
অফলাইন ক্যাশে {1}টি প্রবন্ধ,{1} articles in the offline cache
অফলাইনে পড়ার জন্য সংরক্ষিত লেখা,Texts saved to read offline
অফলাইনে সংরক্ষিত,Saved offline
অবদান পয়েন্ট,Contribution points
অবদানকারীর তালিকা ও আপনার নিজের পয়েন্ট দেখতে সাইন ইন করুন।,Sign in to see the contributor list and your own points.
অ্যাকসেন্ট,Accent
অ্যাকাউন্ট,Account
অ্যাডমিন,Admin
অ্যাডমিন নতুন বার্তা পাঠালে,When an admin sends a new message
অ্যাডমিন বার্তা,Admin message
অ্যাডমিনকে প্রশ্ন বা অনুরোধ পাঠান। উত্তর এখানে দেখাবে।,Send the admin a question or a request. The answer appears here.
অ্যাডমিনের বার্তা,The admin's message
অ্যানোটেশন দেখান,Show annotations
অ্যান্ড্রয়েড সিস্টেম নোটিফিকেশন চালু রাখুন,Keep Android system notifications on
অ্যাপ আপডেট হয়েছে,App updated
অ্যাপ ও সাইট হালনাগাদ,App and site updates
অ্যাপ থিম নির্বাচন,Choose the app theme
অ্যাপ শেয়ার করুন,Share the app
অ্যাপ সংস্করণ ও সাইট হালনাগাদ,App version and site updates
অ্যাপে MP3 সংরক্ষণ,Save MP3 in the app
অ্যাপের ভাষা — বদলাতে টিপুন,App language — tap to change
অ্যালবাম,Album
আগস্ট,August
আগের কাজ,Earlier work
আগের গান,Earlier songs
আগের ছবি,Earlier photos
আগের পৃষ্ঠা,Previous page
আগের বার্তা লোড করুন,Load earlier messages
আজ,Today
আধুনিক,Modern
আধুনিক যুগে মণিপুরি ইঞ্চৌঘরের ঐতিহ্য কীভাবে সংরক্ষিত হচ্ছে?,How is the tradition of the Manipuri ইঞ্চৌঘর kept alive in the modern age?
আধ্যাত্মিক,Spiritual
আপনার উত্তর,Your answer
আপনার কোনো মন্তব্য পাওয়া যায়নি।,No comment of yours was found.
আপনার নাম *,Your name *
আপনার পছন্দের প্রদর্শন শৈলী নির্বাচন করুন:,Choose how you would like it shown:
আপনার পয়েন্ট,Your points
আপনার মন্তব্য সফলভাবে প্রকাশিত হয়েছে!,Your comment was published!
আপনার মূল্যবান মন্তব্য *,Your valuable comment *
আপনার সংরক্ষিত প্লেলিস্ট,Your saved playlist
আপনার সেশনের মেয়াদ শেষ হয়েছে। আবার সাইন ইন করলে তালিকা ও পয়েন্ট দেখা যাবে।,Your session has ended. Sign in again to see the list and the points.
আপনি,You
আপলোড সার্ভার এখন সাড়া দিচ্ছে না ({1})।,The upload server is not responding right now ({1}).
আপলোড সার্ভার ঠিকানা দেয়নি।,The upload server did not give an address.
আপলোডার: {1},Uploader: {1}
আবার,Again
আবার চেষ্টা করুন,Try again
আমাদের অনুসরণ করুন,Follow us
আমাদের সম্পর্কে,About us
আমার ড্যাশবোর্ড,My dashboard
আমার সম্পর্কে,About me
আমি নিংশিং চে AI...,I am the Ningshing Che AI...
আরও,More
আরও {1} টি উত্তর — সব উত্তর দেখুন চাপুন,{1} more answers — tap to see all the answers
আরও দেখুন,See more
আরও দেখুন ({1}),See more ({1})
আরও লোড করুন,Load more
আরতী,Arati
আলোচনা,Discussion
আলোচনা {1},Discussion {1}
আলোচনা {1} · উত্তর {2},Discussion {1} · {2} answers
আলোচনা আনা যায়নি।,Could not load the discussion.
আলোচনা খুঁজুন,Search discussions
আলোচনা খুলুন,Open the discussion
আলোচনা খোলা যায়নি।,Could not open the discussion.
আলোচনা পাওয়া যায়নি।,No discussion found.
আলোচনা ভিউ,Discussion views
আলোচনা লোড হয়নি।,The discussion did not load.
আলোচনার কথা *,Discussion text *
আলোচনার কথা লিখুন।,Write the discussion text.
আলোচনার কথা লিখুন…,Write the discussion text…
আলোচনার কথা ৮০০০ অক্ষরের বেশি হতে পারবে না।,The discussion text cannot be longer than 8000 characters.
আলোচনাসমূহ,Discussions
"আসল কালো, রাতের পড়ার জন্য","True black, for reading at night"
ইংরেজি,English
ইঞ্চৌঘর,ইঞ্চৌঘর
ইঞ্চৌঘরের স্থাপত্যরীতিতে বাঁশ ও কাঠের ব্যবহার কীভাবে হয়?,How are bamboo and wood used in the building style of the ইঞ্চৌঘর?
ইতিহাস,History
ইনস্টল্ড ডিভাইস থেকে সরাসরি সংগৃহীত অফিশিয়াল প্যাকেজ,Official package taken straight from the installed device
ইন্টারনেট সংযোগ নেই।,There is no internet connection.
ইন্টারনেট সংযোগ নেই। সংরক্ষিত আর্কাইভ দেখানো হচ্ছে।,There is no internet connection. Showing the saved archive.
ইন্টারনেট সংযোগ যাচাই করে আবার চেষ্টা করুন। আপনার মন্তব্য মুছে ফেলা হয়নি।,Check the internet connection and try again. Your comment has not been deleted.
ইন্টারফেসের ভাষা। অনুবাদ না থাকা লেখা বাংলাতেই থাকবে ({1}টি অনুবাদ লোড হয়েছে)।,Interface language. Anything without a translation stays in Bengali ({1} translations loaded).
ইন্টারফেসের ভাষা। বাংলা মূল ভাষা; অন্য ভাষা বাছলে অনুবাদ ডাউনলোড হবে।,Interface language. Bengali is the source language; picking another language downloads its translation.
ইমার,Imar
ইমার ঠারর এলা,Songs of the mother tongue
ইমার-ঠারর-এলা,Imar-tharar-ela
ইমেইল (ঐচ্ছিক),Email (optional)
ইমেইল (পরিবর্তন করা যায় না),Email (cannot be changed)
উচ্চতা,Height
উত্তর,Answer
উত্তর কপি করা হয়েছে,Answer copied
উত্তর দিতে সাইন ইন করুন,Sign in to answer
উত্তর দিন,Answer
উত্তর পাঠানো যায়নি।,Could not send the answer.
উত্তর মুছে ফেলা যায়নি।,Could not delete the answer.
উত্তর যোগ করুন,Add an answer
উত্তর লিখুন।,Write an answer.
